id,Title,Country-City,url,Phone,Email,Website,Instagram,Facebook,Telegram,WhatsApp,Viber,Linkedin,YouTube,Twitter,Vkontakte
94,"KAZTEMIRTRANS, JSC",Kazakhstan - Астана,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x9a3b8a6197c41b48b17adbd5c84b8f19,87716660793,Zarina_si@mail.ru,www.kffanek.kz,,,,,,,,,
95,"KEDENTRANSSERVICE, JSC",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xa92b37507738274ba3b49a1f79e0fffb,+77172942626,kense@kdts.kz,www.kdts.kz,,https://www.facebook.com/Kedentransservice.kz,@ao_kdts_bot,,,,https://www.youtube.com/watch?v=KmcNHqjOVWw,,
96,"KIТ.ТК, LLC",Russia - Ekaterinburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x7fba2bd7af51e34c8a8afd676de96fdd,"8 (800) 234 59 60, 8 (7172) 72-77-04",sales@tk-kit.com,www.tk-kit.com,,,https://t.me/TK_KIT_bot,/79122687795,,,,,VK: https://vk.com/tkkitcom
97,KLAIPEDA PORT,Lithuania - Klaipeda,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x344958e0934f1347a27e6bbdc324dbf0,+37046 499 799,info@port.lt,www.portofklaipeda.lt,,https://www.facebook.com/port.lt/?locale=lt_LT,,,,,,,
98,KTZ EXPRESS JSC,Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x35735e1205a3be4ea68c3e6747dd1a1e,+7 771 083 87 60,express@ktze.online ; kense@ktze.kz,www.ktze.kz,ktz_express,ktzeofficial,,+7 771 083 8760,,KTZ Express,,,
99,"KTZE KHORGOS GATEWAY, LLP","Kazakhstan - Penjim village, Zhetysu region",https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x0f2e256922112643b8cc9b335fa810ee,8 727 349 54 08,info@khorgosgateway.kz,www.khorgosgateway.kz,khorgosgateway,KhorgosGateway,,,,,,,
100,"KTZ-FREIGHT TRANSPORTATION, JSC",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x0d4a0ca11f2d5749af757fe284c41768,8 (7172) 60-30-30,ktzh_gp@railways.kz,www.ktzh-gp.kz,,,,,,,,,
101,"LATVIAN RAILWAY, SJSC",Latvia - Riga,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb025e8db1ce86f43930a17172ab06f2d,+371 6723 1181,info@ldz.lv,www.ldz.lv,,,,,,,,,
102,LIEPAJA SPECIAL ECONOMIC ZONE,Latvia - Liepaja,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x2e366f83a523324298b84e8ac066a1c4,+371 6342 7605,lsez@lsez.lv,www.liepaja-sez.lv,,,,,,,,,
103,"LIGHT WAY SOLUTION, LLP",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x5e9a37a14ea0fe49a031090b7de381a0,+7 7172 75 50 91,lwsolution@mail.ru,www.lws.kz,,,,+7 777 775 50 91,,,,,
104,"LOGINVEST, LLC",Kazakhstan - Алматы,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xe59a931dca04bd49ab56621fb69f2cba,+77750071531,info@log-invest.kz,www.log-invest.kz,@log_invest,,+77013046954,+7750071531,,,,,
105,LOGISTA GLOBAL LOJISTIK LTD,Turkey - Istambul,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x30b735644e532c4a8597b75b053bb01b,+90 216 784 76 76,info@logistaglobal.com,www.logistaglobal.com,,,,,,,,,
106,LOGITRANS LOJISTIK A.S.,Turkey - Istanbul,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x68770f7e7a76bd4abb529c4d3aefe152,+90 216 660 17 70,contact@logitransport.com,www.logitransport.com,https://www.instagram.com/logitrans_logistics/,https://www.facebook.com/logitransTR,,,,https://www.linkedin.com/company/logitransport,,https://twitter.com/logitrans_tr,
107,"LOGSOFT, LLP",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x3dd54c91238d9a4e9047d1c7fc701ae2,+7 717 2 799 747,info@logsoft.kz,www.logsoft.kz,@logsoft.kz,,,,,,,,
108,LTG CARGO PART OF LITHUANIAN RAILWAYS GROUP,Lithuania - Vilnius,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x02a19744f294da4fa7a28e5709584b85,+37052021515,sales@ltgcargo.lt,www.ltgcargo.eu,,,,,,https://www.linkedin.com/company/ltgcargo/mycompany/,,,
109,"LWS TERMINAL, LLP",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xd6b22ee00482844da992b2567210dee3,+7 777 955 86 04,lwsterminal@mail.ru,www.lwsterminal.kz,,,,+7 777 955 86 04,,,,,
110,SHANDONG LANDBRIDGE INTERNATIONAL TRANSPORTATION CO. LTD.,China - Shandong Qingdao,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x67095d59f4554e4c9896ec8ce8ec413f,15964276237/18653212021,zhangweina@chinalandbridge.com/ ivy@chinalandbridge.com,www.chinalandbridge.com,,,,,,,,,
111,METROPOLITAN UNIT,Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x3e95ada66672f6448eb9e3289eaff628,+7 700 501 55 77,m.unit.tse@gmail.com,www.metropolitanunit.kz,,,,,,,,,
112,MINISTRY OF TRANSPORT AND COMMUNICATIONS OF THE REPUBLIC OF BELARUS,Belarus - Minsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8add3be1c2a52c448b155f205effcf61,+375172597952,mail@mintrans.gov.by,www.mintrans.gov.by,,,@mintransbelarus,,,,,,
113,MINOU  LOGISTICS,"China - Xiamen, Fujian",https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xbdaf113ee7800b4e9d44887ae62b6782,+8618559068768,veronica@xmminou.com,www.xmminou.com,minou_logistics,,,+86 18559068768,,linkedin.com/in/veronica-zheng-8a8207103,,+86 18559068768,
114,"MINSK CARRIAGE REPAIR PLANT, JSC",Belarus - Minsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8a724d51bce89244ac7983124f7f11c9,+ 375 (17) 225 15 44,marketing_mvrz@mail.ru,www.mvrz.by,https://www.instagram.com/mvrzby,,https://t.me/mvrzby,,,,https://www.youtube.com/@user-fo3rg8nf7h,,
115,"MULTI PORT SYSTEMS KZ, LLP",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x3c81692ebf98874ebf72225ac82873c4,,multiportsystems.kz@mail.ru,,,,,,,,,,
116,NEGABARITIKA,Russia - Белгород,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x40126e3f3c4adf4da95e9ff3ec794cd5,8 (800) 600-21-75,info@negabaritika,www.negabaritika.ru,https://instagram.com/negabaritika,,https://t.me/negabaritika_new,,,,https://www.youtube.com/channel/UCiAzN_YDQzMYKDvkKe2CgjQ,,VK: https://vk.com/negabaritika
117,NEPTUNE LOGISTICS GROUP,China - Shenzhen,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x40e4e6674d483549bf9383380665e665,+86 15118828452,wine@nep-logistics.com,www.nep-logistics.com,Neptune Logisitics,,,,,Neptune Logisitics,,Neptune Logisitics,
118,NORDNIX,Lithuania - Klaipeda,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x27d56e3e184b2b479401d167e40d7713,+37065822997,,www.nordnix.eu,,,,,,,,,
119,NORTH WEST LOGISTICS LLC,Azerbaijan - Baku,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb818eca42de05941baa134340fd0f97f,+994554008130,infol@nwlogistics.az,www.nwlogistics.az,,,,,,,,,
120,"NOVA SUPPLY CHAIN MANAGEMENT, LLC",Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x40cf919fc3c4354d99d1d9d1487bf94a,+7 999 867 85 05,smm@novalog.ru,www.novalog.ru,https://instagram.com/nova_scm,,https://t.me/novalog,,,,,,VK: https://vk.com/nova_scm
121,"NOVOTEK PLUS, LLC",Kazakhstan - Aktobe,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x1566a0c3bd020b40a52a98a88e8e21a7,8(747) 895-53-79,info@ITcargo.kz,www.tk-novotek.ru,,,,89246003850,,,,,
122,NURMINEN LOGISTICS,Finland - Helsinki,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x31f52fbc89d61a41ac4267f36e0736e0,+4366488865555,internationalsales@nurminenlogistics.com,www.nurminenlogistics.com,,https://www.facebook.com/NurminenL,,,,https://www.linkedin.com/company/nurminenlogistics,https://youtube.com/@nurminenlogistics5767,https://twitter.com/nurminenl,
123,"NURSULTAN NAZARBAYEV INTERNATIONAL AIRPORT, JSC",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8a8d24601f48b443aaf1eeb4534ee614,+7 7172 702 999,office@nn-airport.kz; marketing@nn-airport.kz;,www.nn-airport.kz,nqz_airport,Astana Airport,nqzairport,,,astanaairport,,,
124,OOCL LOGISTICS,Russia - Saint-Petersburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x321924049d993b40b891a756589f424a,+7 (812) 335-66-25,olrulsales@oocllogistics.com,www.oocllogistics.com,,,,,,linkedin.com/company/oocl-logistics,https://youtube.com/@OOCLLogistics,,
125,PAKRICHART,Estonia - Tallinn,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xf30d8aff6d3649469ec3458729c75ff0,+37 25 014364,chartering@pakrichart.com / agency@pakrichart.com,,,,,,,,,,
126,"PANDA FREIGHT FORWARDING CO., LTD",China - Shanghai,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x289f995b4e8d38488f9ff0e2e05572fc,+86 21 6140 1687,bessie@pandaff.cn,www.pandaff.cn,,,,,,,,,
127,"PARTNERINTERFREIGHT, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x4d944679698f35409755ed4dcb4489a8,+7 (727) 346 87 99,info@piftec.kz,www.piftec.kz,@partnerinterfreight,,,+7 701 070 8798,,,,,
128,PORT KURYK,Kazakhstan - Kuryk village,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xd0f8590993646c4a8675ed5893c8c157,+7 (7292) 462 475,info@portkuryk.kz,www.portkuryk.kz,,,,,,,,,
129,"PORT LOGISTICS, LTD",Russia - Vyborg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x743d1d3cbef3a748b57a3e0279bffae9,8 (81378) 93144,info@portlog.ru,www.portlog.ru,,,,,,,,,
130,PORT OF SILLAMAE (SILPORT),Estonia - Tallinn,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x5a22b7ed9be89547bf16c9e675605921,405271,silport@silport.ee,www.silport.ee,,,,,,,,,
131,PORT OF TALLINN,Estonia - Tallinn,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xe27637541a2cbc4987128765cce85b21,+372 6318555,portoftallinn@portoftallinn.com,www.ts.ee,https://www.instagram.com/tallinna_sadam/,https://www.facebook.com/portoftallinn,-,-,-,https://www.linkedin.com/company/port-of-tallinn/,https://www.youtube.com/user/portoftallinn/videos,-,VK: -
132,"PTC HOLDING, LLC",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xaafd5176078ec948a110d78c06ceca04,+7 (7172) 277-237,info@ptc-holding.kz,www.ptc-holding.kz,,https://www.facebook.com/ptcholding.kz,https://t.me/ptcholding,,,https://www.linkedin.com/company/79041768/admin/,,,
133,PTK PRIORITET. LLC,Russia - Maloyaroslavets,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xf9901598cc2e8940a16b4467fdf54c40,+79106040808,bratchuk@rusklad.ru,www.rusklad.ru,,,,,,,,,
134,QAZAQ MARITIME PARTNER LLP,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xff157c7327358f4890c4b2c436036888,+77273566868,info@forwarder.kz,www.cls-international.com,cls_international_group,CLS International,,,,CLS International,,,
135,"QINGDAO AODA INDUSTRIAL CO., LIMITED",China - Qingdao,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x9bbddadaddc78247a764261b1c4d368d,0532-83625888,judy@sinorail.biz,,,,,,,,,,
136,QINGDAO FENGTIE INTERNATIONAL LOGISTICS CO. LTD.,"China - Qingdao, Shandong Province",https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x9f100905b6d7ed44972eed92c0f8091d,0086-0532-58871271,liyanan@f-railway.com,www.f-railway.com,,,,15154269375,,,,,
137,"RECON-AKTAU, LLP",Kazakhstan - Aktau,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x2df186fe9f2d8744b30ba74ecb76c2f3,"+7 (7292) 54-43-15, 54-42-14",office@recon-aktau.kz,www.recon-aktau.kz,https://www.instagram.com/reconaktau.kz/?igshid=MzRlODBiNWFlZA%3D%3D,https://www.facebook.com/costeffectiverecon/,,+77712217921,,https://www.linkedin.com/company/19110387/admin/settings/,https://www.youtube.com/@user-tt2zn5jy9z/about,,
138,"RHENUS INTERMODAL SYSTEMS, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x7374a55ff556834d9f92f64ce716e6dd,8 (727) 3560056,salesala@kz.rhenus.com,www.rhenus.group,,,,,,,,,
139,RIGA AIRPORT,Latvia - Riga,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x04db620d6834fc4582d8b7576c5e4ad6,+371 67207135,office@riga-airport.com,www.rixairportcity.com,,,,,,,,,
140,RTSB GMBH,Germany - Friedrichsdorf,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x041589b8d48051428a933d162bd7e906,+49 (0)617259080,sales@rtsb.de,www.rtsb.group,,,,,,https://www.linkedin.com/company/rtsb-gmbh/,,,
141,"RW CARGO, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x12f7a3967b4b6241b219c8c58a97bfe9,+7 701 419 14 13,rwcargo@rwcargo.kz,www.rwcargo.kz,,,,,,,,,
142,"RZD LOGISTICS, JSC",Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x71c015020bd4044289cae86c82366b63,+7 (495) 988 68 68,info@rzdlog.ru,www.rzdlog.ru,,,https://t.me/rzdlogistics,,,,,,VK: https://vk.com/rzdlogistics
143,SARA LOGISTICS AZERBAIJAN,Azerbaijan - Baku,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x76d7c196aa79ba47b9c4444fbaa91cbe,+994124040400,info@saralogistics.az,www.saralogistics.az,https://www.instagram.com/sara.logistics/,https://www.facebook.com/saralogisticsllc/,,+994512308808,,https://az.linkedin.com/company/sara-logitics?trk=public_post_reshare_feed-actor-name,https://www.youtube.com/@saralogisticsazerbaijan8243,,
144,SARENS KAZAKHSTAN LLP,Kazakhstan - Atyrau,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x90b45a0d0285a049aa327c45906c3c7a,+77122763426,info@sarens.kz,www.sarens.com,sarensofficial,,,,,Sarens,,,
145,"SCAT, AIR COMPANY JSC",Kazakhstan - Shymkent,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x1d7b4ed9099c654fa6dfede5035cff03,+7 (7252) 99 88 80,,www.scat.kz,,,,,,,,,
146,SCIENTIFIC-RESEARCH INSTITUTE OF TRANSPORT AND COMMUNICATIONS LLP (NII TK),Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xe42bd8face14164dadbf15aded58b276,+7 727 355 77 00,niitk@niitk.kz,www.niitk.kz,,,,,,,,,
147,"SEA & RAIL LINK LOGISTICS (DALIAN) CO., LTD.",China - Dalian,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x2ef5bd4699fbb841afa053e1f13d9901,+86-0411-8673 6888,jason.wen@srl-dl.com,www.srl-dl.com,,,,+86 139 0411 9808,,,,,
148,SEA PORT OF AKTAU,Kazakhstan - Aktau,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x34f69395e93eba41acd2357a116c5597,+77292445100,aktauport@aktauport.kz,www.portaktau.kz,aktauport_official,Актауский Морской Торговый Порт,,,,,,,
149,SEGEZHA GROUP,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x2ec8195b50b1ff46a73e0b8fa87702ae,+7 (499) 962 82 00,infoply@segezha-group.com,www.segezha-group.com,,,https://t.me/segezhagroup,,,,,,VK: https://vk.com/segezhagroup
150,"SEMSOT DOROG, TRANSPORT COMPANY, LLC",Russia - Naberezhnye Chelny,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x86fbe065d4200d4a91afb28c5a4d6b63,+7(8552) 917-700,mail@700dorog.ru,www.700dorog.ru,www.instagram.com/700dorog/,,t.me/semsotdorog,,,,www.youtube.com/@user-jx2wq3ov3z,,VK: vk.com/id324632334
151,SEVENR LOGISTICS,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x1150be217fc6144f9c91be0f63dc367a,"+7 (727) 339-45-89, 339-45-99",sales@7-r.org,www.7-r.org,oxana_sorokina_7r,,,,,,,,
152,"SHAANXI FURTHER STRATEGY SUPPLY CHAIN MANAGEMENT CO.,LTD.","China - Xi'an, Shaanxi",https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xc32c4f3ee3b96a48afc2110296310df0,+8615877554434,sales@fsscm.cn,www.fsscm.net,,,,,,,,,
153,"SHENZHEN LI-TRANS INTERNATIONAL LOGISTICS CO.,LIMITED",China - Shenzhen,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb1a8750903539b46b354d71eb38834a6,19854485105,774764870@qq,,,,,+8614704835446,+8619854485105,,,,
154,"SHENZHEN SUNSHINE INTERNATIONAL LOGISTICS CO., LTD",China - Shenzhen,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x4df0dc009634df4bbc3c5ec15c22f478,CHN-5840-13510865821,info@sun-logistic.com,www.sun-logistic.com,,,,,,,,,
155,"SHENZHEN YEEHO TRANS SUPPLY CHAIN MANAGEMENT CO., LTD",China - Guangdong Shenzhen,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x6f2113e57bc2d3448677e28397883d6f,0086-15817243465,sherry@yeehotrans.com,www.yeehotrans.com,sherryxie20,,,0086 15817243465,,,,,
156,"SHYNGAR TRANS, LLP",Kazakhstan - Алматы,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xd919d6a7c28f66438c345919189ef215,87273410041,info@shyngar.kz,www.stlc.kz,shyngar_trans,,,8 778 444 08 08,,,,,
157,"SIGIS, SIA",Latvia - Riga,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x1aa7e31170e9a0408af606d6160659bc,(+371) 67792004,sigis@sigis.lv,www.sigis.lv,,,,,,,,,
158,SILSTEVE AS,Estonia - Sillamae,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x0d0f2ea2f4228b46b5349ef0d5e63ed9,+372 3929 200,silsteve@silsteve.ee,www.silsteve.ee,,,,,,,,,
159,"SINARA TRANSPORT MACHINES, LTD",Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x07e94ebd0b1e92408436f8d921d0fec1,+7 495 258 71 64,CTM@sinara-group.com,www.sinaratm.ru,,,,,,,,,
160,"SKINEST RAIL, AS",Estonia - Tallinn,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x3471be442425814e85fcfa9178607277,+3726788070,info@skinest.ee,www.skinest.eu,,,,,,,,,
161,SMARTLOG,Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x7645fcf60031da4f981e01ef0c2aca06,+7 717 257 65 25,"kz@smtlog.com, info@smtlog.com",www.smtlog.com,https://www.instagram.com/smartlog.tr/,https://www.facebook.com/SmartLog.Transportation,,+7 701 100 9122,,https://tr.linkedin.com/company/smartlog-company,,,
162,SONGER LTD,Russia - Saint-Petersburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x31c02bb10565e9459584ad74500b1d4b,+7 (812) 416 48 30,sale@snrbros.com,www.snrbros.com,,,,,,,,,
163,SPEDILTA,Lithuania - Vilnius,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x04788a3ff5300f4cb3caf0c6a76b4d20,+37068852780,d.cuplinskas@spedilta.lt,,,,,,,,,,
164,"STA LOGISTIC KAZAKHSTAN, TOO",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8ea682c37d637c439909e716f43abd0d,+7 727 312 34 24,sta@stalogistic.com,www.stalogistic.com,https://www.instagram.com/stalogistic.insta/,https://www.facebook.com/STALOGISTIC/,https://t.me/stalogistic,,,https://www.linkedin.com/company/stalogistic/,https://www.youtube.com/channel/UCi0PRnr2OIEgu91j17RFOXg,,VK: https://vk.com/public211576429
165,"SHENZHEN TOPS RAIL INTERNATIONAL TRANSPORTATION CO., LTD.",China - Shenzhen,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x3f70779d6ca4e943a5819c0e57346d51,+86-755-83553003,info@topsrail.com,www.topsrail.com,,,,8613510384001,,,,,
166,"TANG-NUR LOGISTICS GROUP, LLC",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x2765338a00f2ac45b099a18d66da884d,+77712288318,n.tleubaeva@tang-nur.com,www.tang-nur.com,https://www.instagram.com/tangnur_logistics_group/,https://www.facebook.com/profile.php?id=100090776784938,,https://wa.me/77712288318,,,https://www.youtube.com/@TangNurlogisticsGroup,,VK: https://vk.com/tangnurlogistic
167,"TEHAUTO, THE GROUP OF COMPANIES",Kazakhstan - Ust-Kamenogorsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x16774df0202dc346a5e15beadda7d2de,+772327009007777,websales@tehauto.com,www.tehauto.kz,tehauto.group,,,87052160038,,,https://www.youtube.com/@group_tehauto,,
168,"TELS CARGO, LTD",Russia - v. Kamenka,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x664150d4a778034c89b7dee8faf8898f,+7 4812 268 328,telscargo@telscargo.ru,www.telscargo.ru,https://www.instagram.com/telscargo/,https://www.facebook.com/telscargo,,,,https://www.linkedin.com/company/tels-cargo/,,,VK: https://vk.com/tels_cargo
169,"TEMIRTRANSSERVICE, LLP",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x12328860e10be84a84cceaa63ecfb9a0,8(7172)61-06-26; 8 771 055 31 94,akru1508@gmail.com; temirtransservice@mail.ru,www.ttservice.kz,@temirtransservice,,,,,,,,
170,TENGRI TECHNOLOGIES,Kazakhstan - Pavlodar,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x18333475ef080a49a68dd2dd25bbf93b,+7 (7182) 31-42-98,tengri.technologies@mail.ru,,,,,,,,,,
171,TERMINAL K,Russia - Saint-Petersburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xc5969e0fdd9fef47b9d20182a212b443,+7(812)4099055,operations@terminal-k.net,www.terminal-k.net,,,,,,,,,
172,"TERRA INCOM, ODO",Belarus - Minsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x6f148ed2303b184d9868919310390a25,+375 17 391 07 31,terraincom@mail.ru,www.terraincom.by,,,,,,,,,
173,"TEUSTAT, LTD",Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x7d629a7c9979de4881f136948ba4f29a,8 800 201 15 77,info@teustat.ru; teu@teustat.ru,www.teustat.ru,,,https://t.me/teustat,,,,,,VK: https://vk.com/teustat
174,TLNIKA GROUP,Lithuania - Vilnius,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x4e7805c7c70c194b8114565436083a14,+37065528269,justinas@tlnika.lt,www.tlnika.lt,https://www.instagram.com/tlnika_kz/,,,+37065528269,,https://lt.linkedin.com/company/tlnikagroup,,,
175,TLO GMBH INTERNATIONALE SPEDITION,Germany - Dornstadt,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xd5d207d9d9a99d44996e104d4a2282a7,+491636455946,gleyberman@tlo-gmbh.com,www.tlo-gmbh.com,https://www.instagram.com/tlo_gmbh/?hl=de,https://www.facebook.com/profile.php?id=100067751801151,,,,,,,
176,TLSC UAB,Lithuania - Klaipeda,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x4cf5422bd3179b4d9c624d2e8b3f3026,+37060474936,info@tlsc.lt,www.tlsc.lt,,https://www.facebook.com/tlsc.lt,,,,https://www.linkedin.com/company/tlsc-uab,,,
177,TORGMOLL,China - Shanghai,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x87316832ec3c2f4f8434d31254c109ff,+862155822161,emil@torgmoll.com,www.torgmoll.com,,,,+8613052301201,,,,,
178,"TRADE HOUSE TTS, LLP",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xffde1b1d6976e246ae660e5c03534fa0,+7 (7172) 61 05 44,too_td_ttc@mail.ru,,,,,,,,,,
179,"TRANS SINERGIA, LLC",Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xf1ac26059b117f409902e7f82c0178dc,+74952690454,info@transsin.ru,www.transsin.ru,trans_sinergia,,https://t.me/transsinergia,,,,https://www.youtube.com/channel/UCS6x3rE_3TI-n7TXof0f8dg,,
180,"TRANSASIA TRANSPORT INTERNATIONAL LOGISTICS CO.,LTD",China - Shenzhen,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x7ce6f861ba907b4cbfa4be13a14bc68e,+( 86 )18923750210/+( 86 )-755-23930023,Julie.zhou@transasiatransport.com,www.transasiatransport.com,,,,,,,,,
181,"TRANS-CASPIAN INTERNATIONAL TRANSPORT ROUTE, THE INTERNATIONAL ASSOCIATION",Kazakhstan,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x9ad3e3d095b69342acf3fea1bd4a76d8,+77171571846,info@tmtm.kz,www.middlecorridor.com,,,,,,,,,
182,"TRANSCOM, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xc68085909157aa4eadb3467c61829eb3,+7 (727) 333-18-56,info-tc@erg.kz,www.transcom.kz,transcom_erg,Transcom.ERG,,+77017810616,,,,,
183,"TRANSCONTAINER, PJSC",Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x100ce65ee6aefc469bddfecd8acc9a69,+74957881717,trcont@trcont.com,www.trcont.com,,,Главный по контейнерам,,,,,,VK: https://vk.com/public211966874
184,"TRANS-EUROPEASIA LOGISTICS CO,LTD.",China - Xiamen,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x6dc6c56e805a2f44bf24b8866d742c90,13714587423,igor@trans-europeasia.com,www.trans-europeasia.com,,,,+86 13714587423,,,,,
185,TRANSGROUP SYSTEMS L.P.,Uzbekistan - Tashkent,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xd89aefe0a223da4bb9137bf6521f0576,+99871 2312424,info@trans-group.org,,,,,,,,,,
186,"TRANSMASHHOLDING, JSC",Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xf26a595160b2b94fae68cd9164771b34,+74956608950,info@tmholding.ru,www.tmholding.ru,,,https://t.me/tmh_global,,,,,,VK: https://vk.com/tmh_official
187,"TRANSSYSTEM, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xaacfec8455d01545b08df6ee6672f686,+77273750505,info@transsystem.com.kz,www.transsystem.com.kz,,,,,,,,,
188,"XIAMEN TRANS-CHINA LOGISTICS CO.,LTD.",China - Xiamen,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x228ad598414884478b9953eb21f693c8,+86-592-6021749,market06@trans-china.com,www.trans-china.com,,,,,,,,,
